2026-07-31 09:26:26,023 | INFO | botocore.credentials | Found credentials in environment variables.
2026-07-31 09:26:26,178 | INFO | docling.datamodel.document | detected formats: [<InputFormat.PDF: 'pdf'>]
2026-07-31 09:26:26,355 | INFO | docling.document_converter | Going to convert document batch...
2026-07-31 09:26:26,355 | INFO | docling.document_converter | Initializing pipeline for StandardPdfPipeline with options hash 051c1e157cd81d4fe9f97027ec51ea64
2026-07-31 09:26:26,372 | INFO | docling.models.factories.base_factory | Loading plugin 'docling_defaults'
2026-07-31 09:26:26,381 | INFO | docling.models.factories | Registered picture descriptions: ['picture_description_vlm_engine', 'vlm', 'api']
2026-07-31 09:26:26,394 | INFO | docling.models.factories.base_factory | Loading plugin 'docling_defaults'
2026-07-31 09:26:26,425 | INFO | docling.models.factories | Registered ocr engines: ['auto', 'easyocr', 'kserve_v2_ocr', 'nemotron-ocr', 'ocrmac', 'rapidocr', 'tesserocr', 'tesseract']
2026-07-31 09:26:26,439 | INFO | docling.models.factories.base_factory | Loading plugin 'docling_defaults'
2026-07-31 09:26:26,446 | INFO | docling.models.factories | Registered layout engines: ['layout_object_detection', 'docling_layout_default', 'docling_experimental_table_crops_layout']
2026-07-31 09:26:30,502 | INFO | docling.utils.accelerator_utils | Accelerator device: 'cpu'
2026-07-31 09:26:31,564 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/docling-project/docling-layout-heron/revision/main "HTTP/1.1 200 OK"
2026-07-31 09:26:32,257 | INFO | docling.models.factories.base_factory | Loading plugin 'docling_defaults'
2026-07-31 09:26:32,264 | INFO | docling.models.factories | Registered table structure engines: ['docling_tableformer', 'docling_tableformer_v2', 'granite_vision_table']
2026-07-31 09:26:32,844 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/docling-project/docling-models/revision/v2.3.0 "HTTP/1.1 200 OK"
2026-07-31 09:26:32,922 | INFO | docling.utils.accelerator_utils | Accelerator device: 'cpu'
2026-07-31 09:26:33,641 | INFO | docling.pipeline.base_pipeline | Processing document ASHA_1.pdf
2026-07-31 09:26:34,294 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 1, pages [7]: std::bad_alloc
2026-07-31 09:26:34,335 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 1, pages [8]: std::bad_alloc
2026-07-31 09:26:34,408 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 1, pages [9]: std::bad_alloc
2026-07-31 09:26:34,457 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 1, pages [10]: std::bad_alloc
2026-07-31 09:26:34,512 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 1, pages [11]: std::bad_alloc
2026-07-31 09:26:34,561 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 1, pages [12]: std::bad_alloc
2026-07-31 09:26:34,604 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 1, pages [13]: std::bad_alloc
2026-07-31 09:26:34,649 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 1, pages [14]: std::bad_alloc
2026-07-31 09:26:34,693 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 1, pages [15]: std::bad_alloc
2026-07-31 09:26:34,733 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 1, pages [16]: std::bad_alloc
2026-07-31 09:26:34,766 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 1, pages [17]: std::bad_alloc
2026-07-31 09:26:34,840 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 1, pages [18]: std::bad_alloc
2026-07-31 09:26:34,926 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 1, pages [19]: std::bad_alloc
2026-07-31 09:26:34,982 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 1, pages [20]: std::bad_alloc
2026-07-31 09:26:35,033 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 1, pages [21]: std::bad_alloc
